jobRoleId,jobRoleName,jobRoleDesc,jobCategoryId
040632,Package Solution Consultant,"This role assists clients in the selection, implementation, and production support of application packaged solutions.  They use in-depth consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients' business environment in order to achieve client expected business results.",CN
040661,Application Architect,"This role designs applications required to automate business processes and meet business needs. The resulting design may run on multiple platforms and may be composed of multiple software packages and custom components. This role defines best practices in the critical evaluation and selection and / or development of the software components and hardware requirements of the applications and data, and the development of the application, including evaluation and selection of development methods, development processes, best practices and tools. Applications Architects are responsible for applications-related quality, performance, availability, scalability, and integrity. They are also responsible for the functional interface to applications and for ensuring application usability.",IA
040662,Information Architect,"This role focuses on the elements required to manage all aspects of data and information (both structured and unstructured) from business requirements to logical and physical design. This role spans the full information management lifecycle from acquisition, through cleanse, transform, classify and storage to presentation, distribution, security, privacy and archiving. The key interests of the Information Architect include databases (relational, hierarchical and object-oriented), file systems and storage management, as well as document imaging, knowledge and content management, taxonomies and business intelligence. Information Architects must be capable of designing centralized or distributed systems that both address the user's requirements and perform efficiently and effectively.",IA
040663,Infrastructure Architect,"This role concentrates on the design of infrastructures including servers, storage, workstations, middleware, non-application software, networks, and the physical facilities that support the applications and business processes required by the client. Included in the focus areas is the critical evaluation and selection of the software and hardware components of the infrastructure. Best practices in this role use various techniques including modeling, simulation, and testing to validate the designs and selected products. Infrastructure Architects are responsible for performance, availability and scalability of the infrastructure.",IA
040665,Operations Architect,"This role's best practices center on the design of systems to manage the infrastructure and applications used by the client. This role focuses on defining plans, strategies and architectures for the installation, operation, migration and management of complex information systems. An Operations Architect gathers and analyzes client I/T needs, translates these needs into requirements for specific systems management processes, products, and services, and may lead or advise the teams which install, operate and maintain the I/T system.",IA
040666,Application Consultant,This role advises their client on application development methodology and tools. They perform as experts on application development for existing or new applications. This role helps guide and teach their clients' project members.,CN
040667,Resiliency Consultant,"This role assists clients with determining, implementing and managing their enterprise wide continuity and resilience program, including crisis management. Apply a broad set of consultant skills that focus on total enterprise-wide availability, continuity and resiliency strategies. Know how to apply options for multiple industries and IT platforms both IBM and non-IBM.",CN
040669,People Manager,"Share information and assign work to link employees' work to IBM's strategy, market performance and local organization's goals. Simplify complex goals and help individuals and teams to align priorities with IBM's strategic direction. Assign individuals and collaborate with other leaders to allocate employee resources in a manner that best meets IBM, project/account, and individual development needs. Accept accountability for business results including meeting client satisfaction, productivity, financial, and other business measurements. Lead or participate in organization planning, providing leadership and support to ensure that business objectives are met. Foster teamwork and inclusion across organizations, cultures and geographies -- and promote IBM's diversity and inclusive leadership and IBM Values. Support activities and projects involving cross-functional teams which contribute to IBM success. Provide employees feedback to improve performance. Establish clear performance expectations and hold people accountable for results. Recognize contributions by employees and teams. Lead by example in all activities. Lead in a manner that enhances IBM's climate and business results. Support change, encourage employees to innovate, evaluate suggestions, and remove obstacles to implementation. Assure employee equity and encourage employee growth and opportunity. Advise and coach employees to help them develop their skills and capabilities to best meet their career desires and current or future business needs. Execute processes for the normal operation of employee programs. Analyze and interpret new situations. Resolve complex problems independently or through the management of others. People Manager job role has considerable latitude in responsibilities to define and determine processes, priorities and resources following general business unit, country or regional directives.",GM
040670,Project Manager,"This role is responsible for leading a project team in delivering a solution to the client using the appropriate business measurements and terms and conditions for the project according to the project charter, project agreement or contract. They have overall performance responsibility for managing scope, cost, schedule, and contractual deliverables, which includes applying techniques for planning, tracking, change control, and risk management. They are responsible for managing all project resources, including subcontractors, and for establishing an effective communication plan with the project team and the client. They provide day to day direction to the project team and regular project status to the client.",PM
040673,Systems Management Specialist,"This role is performed by technical professionals that have expertise in managing and operation of IT hardware, software, communications, and/or application solutions, and the resources required to plan for, develop, deliver, and support properly engineered IT services and products to meet the needs of a business. The scope of this job role includes preparation for new or changed services, management of the change process, management of performance of systems and services in relation to their contribution to business performance.  Individuals in this role apply their technical skills to support the operation and maintenance of vendor products, services, and solutions and typically have responsibility for sizing, troubleshooting, and critical client situations.",TS
