,skillId,skillName,skillDesc
0,040632.S0012,SAP.Ariba,"Assists clients in the selection, implementation and support of the Ariba Spend Management suite of software products (including Procurement, Sourcing, Managed Services and Supplier Management). This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results. Enterprise Spend Management (ESM) is enterprise software and services that allow companies to integrate their analysis, sourcing, contracting, procurement, and reconciliation processes into a single, cohesive system. ESM provides enterprise-wide visibility and control needed to efficiently manage and leverage spend."
1,040632.S0050,Chordiant,"Assists clients in the selection, design, implementation, and support of Chordiant Customer Experience solutions. Skills include software selection, requirements definition, application development, testing."
2,040632.S0075,Dassault,"Assists clients in the selection, implementation, and support of the Dassault application portfolio. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged (digital) technology into the clients business environment in order to achieve client expected business results.| PLM I CATIA"
3,040632.S0094,Asset Mgt Systems,"Assists clients in the selection, implementation and support of Asset Management Systems. This role requires consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client business environment in order to achieve client expected business results. | EAM Enterprise MRO Maintenance"
4,040632.S0095,eCommerce,Advises clients on application development methodology and tools with focus on e-Commerce applications. This role performs as an expert on application development for existing or new applications.
5,040632.S0153,Hyperion,"Assists clients in the analysis & implementation of Hyperion solutions. Hyperion Financial Management (HFM) is a comprehensive, web-based application that delivers global collection, financial consolidation, reporting, and analysis in a single solution."
6,040632.S0254,Oracle.CRM,"Assists clients in the selection, implementation, and support of Oracle CRM suite including the following modules: Channel Management, Marketing, Order Management, Sales and Service. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results. | CRM, Field Service, Depot repair"
7,040632.S0255,Oracle.Financials,"Assists clients in the selection, implementation, and support of the Oracle Financial suite including the following modules: Activity Based Management, Advanced Collections, Assets, Balanced Scorecard, Cash Management, Daily Business Intelligence for Financials, Enterprise Planning & Budgeting, Financial Analyzer, Financials Centralized Solution Set, Financial Consolidation Hub, General Ledger, iAssets, Internal Controls Manager, Internet Expenses, iPayment, iReceivables, Lease Management, Loans, Payables, Property Manager, Receivables, and Treasury. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results. | Finance, ABM, AP, AR, GL, Oracle Financials"
8,040632.S0256,Oracle.HR,"Assists clients in the selection, implementation, and support of the Oracle HR suite including the following modules: Advanced Benefits, Corporate Performance Management, Daily Business Intelligence for Human Resources, Incentive Compensation, Human Resources, iRecruitment, Learning Management, Payroll, Self Service Human Resources, Time and Labor, Workforce Scheduling, and Compensation Workbench. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results. | HR, T&L, Payroll"
9,040632.S0257,Oracle.Manufacturing,"Assists clients in the selection, implementation & support of the Oracle Manufacturing suite including the following modules: Discrete Manufacturing, Flow Manufacturing, Process Manufacturing, Shop Floor Management, and Inventory Management. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
